time,country,case,cure,death,longitude,latitude
2020-01-23,Afghanistan,0,0,0,66.00473366,33.83523073
2020-01-23,Albania,0,0,0,20.04983396,41.14244989
2020-01-23,Algeria,0,0,0,2.61732301,28.15893849
2020-01-23,Andorra,0,0,0,1.56054378,42.54229102
2020-01-23,Angola,0,0,0,17.53736768,-12.29336054
2020-01-23,Anguilla,0,0,0,-63.06498927,18.2239595
2020-01-23,Antigua and Barbuda,0,0,0,-61.79469343,17.2774996
2020-01-23,Argentina,0,0,0,-65.17980692,-35.3813488
2020-01-23,Armenia,0,0,0,44.92993276,40.28952569
2020-01-23,Aruba,0,0,0,-69.98267711,12.52088038
2020-01-23,Australia,0,0,0,134.4910001,-25.73288704
2020-01-23,Austria,0,0,0,14.1264761,47.58549439
2020-01-23,Azerbaijan,0,0,0,47.54599879,40.28827235
2020-01-23,Bahrain,0,0,0,50.54196932,26.04205135
2020-01-23,Bangladesh,0,0,0,90.23812743,23.86731158
2020-01-23,Barbados,0,0,0,-59.559797,13.18145428
2020-01-23,Belarus,0,0,0,28.03209307,53.53131377
2020-01-23,Belgium,0,0,0,4.64065114,50.63981576
2020-01-23,Belize,0,0,0,-88.71010486,17.20027509
2020-01-23,Benin,0,0,0,2.32785254,9.6417597
2020-01-23,Bermuda,0,0,0,-64.7545589,32.31367802
2020-01-23,Bhutan,0,0,0,90.40188155,27.41106589
2020-01-23,Bolivia,0,0,0,-64.68538645,-16.70814787
2020-01-23,Bosnia and Herzegovina,0,0,0,17.76876733,44.17450125
2020-01-23,Botswana,0,0,0,23.79853368,-22.18403213
2020-01-23,Brazil,0,0,0,-53.09783113,-10.78777702
2020-01-23,British Virgin Islands,0,0,0,-64.47146992,18.52585755
2020-01-23,Brunei,0,0,0,114.7220304,4.51968958
2020-01-23,Bulgaria,0,0,0,25.21552909,42.76890318
2020-01-23,Burkina Faso,0,0,0,-1.75456601,12.26953846
2020-01-23,Burundi,0,0,0,29.87512156,-3.35939666
2020-01-23,Cambodia,0,0,0,104.9069433,12.72004786
2020-01-23,Cameroon,0,0,0,12.73964156,5.69109849
2020-01-23,Canada,0,0,0,-98.30777028,61.36206324
